"Rank","Name","Tm","Vote Pts","1st Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G.P","GS","SV","IP","H.P","HR.P","BB.P","SO","year","league","rankWAR"
19,"Joe Sewell","CLE",4,0,"6%",2.7,153,558,80,167,2,83,10,73,0.299,0.386,0.385,0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,"AL",17
21,"George Burns","BOS",2,0,"3%",2.3,147,558,71,171,12,73,8,20,0.306,0.341,0.446,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,"AL",21
21,"Jimmy Dykes","PHA",2,0,"3%",2.5,145,501,66,138,12,68,6,55,0.275,0.359,0.421,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,"AL",19
21,"Bucky Harris","WSH",2,0,"3%",2.1,154,602,95,162,2,40,25,52,0.269,0.341,0.346,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,"AL",24
21,"Roger Peckinpaugh","WSH",2,0,"3%",2.4,147,520,62,132,2,48,11,55,0.254,0.329,0.308,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,"AL",20
21,"Bill Wambsganss","CLE",2,0,"3%",-0.3,142,538,89,141,0,47,17,60,0.262,0.341,0.325,0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,"AL",26
26,"George Cutshaw","DET",1,0,"2%",-0.3,132,499,57,133,2,61,11,20,0.267,0.3,0.339,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,"AL",26
26,"Cy Perkins","PHA",1,0,"2%",0.7,148,505,58,135,6,69,1,40,0.267,0.322,0.366,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922,"AL",25
1,"Babe Ruth","NYY",64,8,"100%",14.1,152,522,151,205,41,130,17,170,0.393,0.545,0.764,1.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",1
2,"Eddie Collins","CHW",37,0,"58%",6.3,145,505,89,182,5,67,48,84,0.36,0.455,0.453,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",7
3,"Harry Heilmann","DET",31,0,"48%",9.3,144,524,121,211,18,115,9,74,0.403,0.481,0.632,1.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",2
4,"Wally Gerber","SLB",20,0,"31%",1.6,154,605,85,170,1,62,4,54,0.281,0.342,0.339,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",21
4,"Joe Sewell","CLE",20,0,"31%",7.5,153,553,98,195,3,109,9,98,0.353,0.456,0.479,0.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",4
6,"Charlie Jamieson","CLE",19,0,"30%",5.1,152,644,130,222,2,51,18,80,0.345,0.422,0.447,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",9
7,"Johnny Bassler","DET",17,0,"27%",3.2,135,383,45,114,0,49,2,76,0.298,0.414,0.345,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",16
8,"Chick Galloway","PHA",13,0,"20%",0.8,134,504,64,140,2,62,12,37,0.278,0.327,0.361,0.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",22
8,"George Uhle","CLE",13,0,"20%",7.5,58,144,23,52,0,22,2,7,0.361,0.391,0.472,0.863,26,16,3.77,1.342,54,44,5,357.2,378,8,102,109,1923,"AL",4
10,"George Burns","BOS",8,0,"12%",4.1,146,551,91,181,7,82,9,45,0.328,0.386,0.47,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",13
11,"Howard Ehmke","BOS",7,0,"11%",6.2,43,112,4,25,0,7,0,2,0.223,0.237,0.25,0.487,20,17,3.78,1.38,43,39,3,316.2,318,12,119,121,1923,"AL",8
11,"Muddy Ruel","WSH",7,0,"11%",3.5,136,449,63,142,0,54,4,55,0.316,0.394,0.383,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",14
13,"Roger Peckinpaugh","WSH",6,0,"9%",2.8,154,568,73,150,2,62,10,64,0.264,0.34,0.32,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",19
14,"Urban Shocker","SLB",5,0,"8%",6.4,43,80,9,16,0,6,0,16,0.2,0.333,0.213,0.546,20,12,3.41,1.23,43,35,5,277.1,292,12,49,109,1923,"AL",6
15,"Joe Judge","WSH",4,0,"6%",3.2,113,405,56,127,2,63,11,58,0.314,0.406,0.417,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",16
15,"Marty McManus","SLB",4,0,"6%",3.5,154,582,86,180,15,94,14,49,0.309,0.367,0.481,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",14
15,"Ken Williams","SLB",4,0,"6%",7.6,147,555,106,198,29,91,18,79,0.357,0.439,0.623,1.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",3
18,"Bucky Harris","WSH",3,0,"5%",3,145,532,60,150,2,70,23,50,0.282,0.358,0.382,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",18
18,"Joe Harris","BOS",3,0,"5%",4.7,142,483,82,162,13,76,7,52,0.335,0.406,0.52,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",10
20,"Joe Hauser","PHA",1,0,"2%",4.2,146,537,93,165,17,94,6,69,0.307,0.398,0.475,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",12
20,"Walter Johnson","WSH",1,0,"2%",4.6,42,93,11,18,0,13,0,4,0.194,0.227,0.29,0.517,17,12,3.48,1.287,42,34,4,261,263,9,73,130,1923,"AL",11
20,"Cy Perkins","PHA",1,0,"2%",2,143,500,53,135,2,65,1,65,0.27,0.356,0.37,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,"AL",20
1,"Walter Johnson","WSH",55,NA,"86%",7.4,39,113,18,32,1,14,0,3,0.283,0.308,0.389,0.697,23,7,2.72,1.116,38,38,0,277.2,233,10,77,158,1924,"AL",3
2,"Eddie Collins","CHW",49,NA,"77%",5.2,152,556,108,194,6,86,42,89,0.349,0.441,0.455,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",5
3,"Charlie Jamieson","CLE",25,NA,"39%",4,143,594,98,213,3,54,21,47,0.359,0.407,0.458,0.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",10
4,"Herb Pennock","NYY",24,NA,"38%",7.6,40,101,13,16,2,10,1,7,0.158,0.22,0.238,0.458,21,9,2.83,1.278,40,34,3,286.1,302,13,64,101,1924,"AL",2
5,"Johnny Bassler","DET",22,NA,"34%",4.4,124,379,43,131,1,68,2,62,0.346,0.441,0.422,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",6
6,"Hank Severeid","SLB",17,NA,"27%",2.1,137,432,37,133,4,48,1,36,0.308,0.362,0.398,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",19
7,"Joe Hauser","PHA",13,NA,"20%",3.8,149,562,97,162,27,115,7,56,0.288,0.358,0.516,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",11
8,"Baby Doll Jacobson","SLB",11,NA,"17%",4.4,152,579,103,184,19,97,6,35,0.318,0.361,0.528,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",6
9,"Harry Heilmann","DET",9,NA,"14%",6.4,153,570,107,197,10,114,13,78,0.346,0.428,0.533,0.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",4
9,"Joe Sewell","CLE",9,NA,"14%",4.1,153,594,99,188,4,106,3,67,0.316,0.388,0.429,0.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",9
11,"Muddy Ruel","WSH",7,0,"11%",2.2,149,501,50,142,0,57,7,62,0.283,0.37,0.331,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",17
11,"Wally Schang","NYY",7,0,"11%",2.2,114,356,46,104,5,51,2,48,0.292,0.382,0.427,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",17
11,"Al Simmons","PHA",7,0,"11%",1.5,152,594,69,183,8,102,16,30,0.308,0.343,0.431,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",21
14,"Wally Pipp","NYY",6,0,"9%",3.1,153,589,88,174,9,110,12,51,0.295,0.352,0.457,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",15
15,"Howard Ehmke","BOS",5,0,"8%",8.2,46,126,14,28,0,14,4,5,0.222,0.252,0.238,0.49,19,17,3.46,1.286,45,36,4,315,324,9,81,119,1924,"AL",1
15,"Ira Flagstead","BOS",5,0,"8%",2.9,149,560,106,172,5,43,10,77,0.307,0.401,0.421,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",16
17,"Wally Gerber","SLB",4,0,"6%",0,148,496,61,135,0,55,4,43,0.272,0.341,0.329,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",22
17,"Earl Whitehill","DET",4,0,"6%",2.1,37,89,11,19,0,7,0,9,0.213,0.286,0.247,0.533,17,9,3.86,1.455,35,32,0,233,260,8,79,65,1924,"AL",19
19,"Lu Blue","DET",3,0,"5%",3.3,108,395,81,123,2,53,9,64,0.311,0.413,0.428,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",13
20,"Ike Boone","BOS",2,0,"3%",3.3,128,487,72,164,13,98,2,54,0.337,0.404,0.497,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",13
20,"Joe Harris","BOS",2,0,"3%",3.8,133,491,82,148,3,77,6,81,0.301,0.406,0.43,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",11
22,"Chick Galloway","PHA",1,0,"2%",-0.7,129,464,41,128,2,48,11,23,0.276,0.311,0.341,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",23
22,"Ken Williams","SLB",1,0,"2%",4.4,114,398,78,129,18,84,20,69,0.324,0.425,0.533,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,"AL",6
1,"Roger Peckinpaugh","WSH",45,NA,"70%",2.6,126,422,67,124,4,64,13,49,0.294,0.367,0.379,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",20
2,"Al Simmons","PHA",41,NA,"64%",6.5,153,654,122,253,24,129,7,35,0.387,0.419,0.599,1.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",2
3,"Joe Sewell","CLE",21,NA,"33%",5.2,155,608,78,204,1,98,7,64,0.336,0.402,0.424,0.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",6
4,"Harry Heilmann","DET",20,NA,"31%",6.9,150,573,97,225,13,134,6,67,0.393,0.457,0.569,1.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",1
5,"Harry Rice","SLB",18,NA,"28%",4.4,103,354,87,127,11,47,8,54,0.359,0.45,0.568,1.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",11
6,"Earl Sheely","CHW",17,NA,"27%",3.7,153,600,93,189,9,111,3,68,0.315,0.389,0.442,0.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",14
7,"Ira Flagstead","BOS",10,NA,"16%",1.8,148,572,84,160,6,61,5,63,0.28,0.356,0.385,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",25
7,"Baby Doll Jacobson","SLB",10,NA,"16%",2.9,142,540,103,184,15,76,8,45,0.341,0.392,0.513,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",18
7,"Johnny Mostil","CHW",10,NA,"16%",4.5,153,605,135,181,2,50,43,90,0.299,0.4,0.421,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",10
10,"Ossie Bluege","WSH",8,NA,"12%",2.4,145,522,77,150,4,79,16,59,0.287,0.362,0.377,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",23
10,"Mickey Cochrane","PHA",8,NA,"12%",2.7,134,420,69,139,6,55,7,44,0.331,0.397,0.448,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",19
12,"Lu Blue","DET",7,0,"11%",3.7,150,532,92,163,3,94,19,83,0.306,0.403,0.391,0.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",14
12,"Stan Coveleski","WSH",7,0,"11%",5.4,32,81,3,9,0,7,0,1,0.111,0.133,0.111,0.244,20,5,2.84,1.257,32,32,0,241,230,7,73,58,1925,"AL",4
12,"Willie Kamm","CHW",7,0,"11%",3.8,152,509,82,142,6,83,11,90,0.279,0.391,0.393,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",13
12,"Eddie Rommel","PHA",7,0,"11%",5.2,52,81,7,15,1,9,1,6,0.185,0.241,0.272,0.513,21,10,3.69,1.456,52,28,3,261,285,10,95,67,1925,"AL",6
12,"Ray Schalk","CHW",7,0,"11%",1.8,125,343,44,94,0,52,11,57,0.274,0.382,0.332,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",25
12,"Al Wingo","DET",7,0,"11%",5.3,130,440,104,163,5,68,14,69,0.37,0.456,0.527,0.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",5
18,"Earle Combs","NYY",6,0,"9%",4,150,593,117,203,3,62,12,65,0.342,0.411,0.462,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",12
18,"Bob Meusel","NYY",6,0,"9%",3.6,156,624,101,181,33,134,13,54,0.29,0.348,0.542,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",16
20,"Ted Lyons","CHW",5,0,"8%",5.2,43,97,6,18,0,7,0,3,0.186,0.218,0.216,0.434,21,11,3.26,1.359,43,32,3,262.2,274,7,83,45,1925,"AL",6
21,"George Burns","CLE",4,0,"6%",2.3,127,488,69,164,6,79,16,24,0.336,0.371,0.473,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",24
21,"Marty McManus","SLB",4,0,"6%",2.5,154,587,108,169,13,90,5,73,0.288,0.371,0.457,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",22
21,"Herb Pennock","NYY",4,0,"6%",6.3,47,99,6,20,0,7,0,2,0.202,0.218,0.232,0.45,16,17,2.96,1.22,47,31,2,277,267,11,71,88,1925,"AL",3
24,"Benny Bengough","NYY",2,0,"3%",0.1,95,283,17,73,0,23,0,19,0.258,0.305,0.322,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",29
24,"Howard Ehmke","BOS",2,0,"3%",4.8,34,88,6,13,0,5,0,4,0.148,0.185,0.17,0.355,9,20,3.73,1.419,34,31,1,260.2,285,8,85,95,1925,"AL",9
24,"Lou Gehrig","NYY",2,0,"3%",3.1,126,437,73,129,20,68,6,46,0.295,0.365,0.531,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",17
27,"Ike Boone","BOS",1,0,"2%",2.6,133,476,79,157,9,68,1,60,0.33,0.406,0.479,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",20
27,"Joe Dugan","NYY",1,0,"2%",1,102,404,50,118,0,33,2,19,0.292,0.33,0.359,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",28
27,"Phil Todt","BOS",1,0,"2%",1.6,141,544,62,151,11,75,3,44,0.278,0.343,0.439,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"AL",27
1,"George Burns","CLE",63,NA,"98%",4.9,151,603,97,216,4,115,13,28,0.358,0.394,0.494,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",9
2,"Johnny Mostil","CHW",33,NA,"52%",6.3,148,600,120,197,4,41,35,79,0.328,0.415,0.467,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",4
3,"Herb Pennock","NYY",32,NA,"50%",3.1,40,85,8,18,0,6,0,10,0.212,0.302,0.235,0.537,23,11,3.62,1.265,40,33,3,266.1,294,11,43,78,1926,"AL",13
4,"Sam Rice","WSH",18,NA,"28%",3.4,152,641,98,216,3,75,24,42,0.337,0.38,0.445,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",12
5,"Harry Heilmann","DET",16,NA,"25%",5.2,141,502,90,184,9,101,6,67,0.367,0.445,0.534,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",6
5,"Heinie Manush","DET",16,NA,"25%",5.1,136,498,95,188,14,86,11,31,0.378,0.421,0.564,0.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",7
5,"Al Simmons","PHA",16,NA,"25%",5.1,147,583,90,199,19,110,11,48,0.341,0.392,0.564,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",7
8,"Lefty Grove","PHA",12,NA,"19%",6.5,45,81,6,8,0,6,0,5,0.099,0.151,0.136,0.287,13,13,2.51,1.271,45,33,6,258,227,6,101,194,1926,"AL",3
9,"Goose Goslin","WSH",9,NA,"14%",6.8,147,568,105,201,17,109,8,63,0.354,0.425,0.542,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",1
10,"Lou Gehrig","NYY",7,0,"11%",6.8,155,572,135,179,16,109,6,105,0.313,0.42,0.549,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",1
10,"Tony Lazzeri","NYY",7,0,"11%",2.7,155,589,79,162,18,117,16,54,0.275,0.338,0.462,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",17
12,"Bibb Falk","CHW",6,0,"9%",5.6,155,566,86,195,8,108,9,66,0.345,0.415,0.477,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",5
12,"Bob Fothergill","DET",6,0,"9%",3.1,110,387,63,142,3,73,4,33,0.367,0.421,0.506,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",13
12,"Ski Melillo","SLB",6,0,"9%",-0.2,99,385,54,98,1,29,6,32,0.255,0.315,0.335,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",25
12,"Harry Rice","SLB",6,0,"9%",3.1,148,578,86,181,9,54,10,63,0.313,0.384,0.441,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",13
16,"Ossie Bluege","WSH",5,0,"8%",2,139,487,69,132,3,65,12,70,0.271,0.368,0.361,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",22
16,"Phil Todt","BOS",5,0,"8%",0.6,154,599,56,153,7,70,3,40,0.255,0.306,0.362,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",24
18,"Mickey Cochrane","PHA",4,0,"6%",2.1,120,370,50,101,8,47,5,56,0.273,0.369,0.408,0.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",20
18,"Joe Judge","WSH",4,0,"6%",3,134,453,70,132,7,92,7,53,0.291,0.367,0.442,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",16
18,"Marty McManus","SLB",4,0,"6%",2.4,149,549,102,156,9,64,5,55,0.284,0.35,0.424,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",18
21,"Bob Meusel","NYY",3,0,"5%",2.1,108,413,73,130,12,78,16,37,0.315,0.373,0.47,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",20
21,"Topper Rigney","BOS",3,0,"5%",4.6,148,525,71,142,4,50,6,108,0.27,0.395,0.377,0.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",11
23,"Ira Flagstead","BOS",2,0,"3%",2.3,98,415,65,124,3,31,4,36,0.299,0.363,0.429,0.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",19
23,"Wally Gerber","SLB",2,0,"3%",-0.4,131,411,37,111,0,43,0,40,0.27,0.339,0.29,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",26
23,"Tom Zachary","SLB",2,0,"3%",4.8,34,86,4,23,1,5,0,4,0.267,0.3,0.372,0.672,14,15,3.6,1.46,34,31,0,247.1,264,14,97,53,1926,"AL",10
26,"Baby Doll Jacobson","TOT",1,0,"2%",1.2,148,576,62,172,8,89,5,31,0.299,0.337,0.436,0.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"AL",23
1,"Lou Gehrig","NYY",56,7,"88%",11.8,155,584,149,218,47,173,10,109,0.373,0.474,0.765,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",1
2,"Harry Heilmann","DET",35,0,"55%",7.2,141,505,106,201,14,120,11,72,0.398,0.475,0.616,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",3
3,"Ted Lyons","CHW",34,0,"53%",8.1,41,110,16,28,1,9,0,6,0.255,0.293,0.373,0.666,22,14,2.84,1.164,39,34,2,307.2,291,7,67,71,1927,"AL",2
4,"Mickey Cochrane","PHA",18,0,"28%",4.4,126,432,80,146,12,80,9,50,0.338,0.409,0.495,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",8
4,"Al Simmons","PHA",18,0,"28%",5.8,106,406,86,159,15,108,10,31,0.392,0.436,0.645,1.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",5
6,"Goose Goslin","WSH",15,0,"23%",5.3,148,581,96,194,13,120,21,50,0.334,0.392,0.516,0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",6
6,"Muddy Ruel","WSH",15,0,"23%",3.2,131,428,61,132,1,52,9,63,0.308,0.403,0.376,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",12
8,"Jimmy Dykes","PHA",14,0,"22%",2.7,121,417,61,135,3,60,2,44,0.324,0.394,0.453,0.847,0,0,4.5,1.5,2,0,1,2,2,0,1,0,1927,"AL",13
9,"Luke Sewell","CLE",13,0,"20%",0.7,128,470,52,138,0,53,4,20,0.294,0.328,0.377,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",22
10,"Joe Sewell","CLE",9,0,"14%",3.5,153,569,83,180,1,92,3,51,0.316,0.382,0.424,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",10
11,"Tony Lazzeri","NYY",8,1,"12%",6.3,153,570,92,176,18,102,22,69,0.309,0.383,0.482,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",4
12,"Bobby Reeves","WSH",7,0,"11%",-0.5,112,380,37,97,1,39,3,21,0.255,0.296,0.318,0.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",25
13,"Frank O'Rourke","SLB",6,0,"9%",1,140,538,85,144,1,39,18,64,0.268,0.358,0.331,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",20
13,"Jackie Tavener","DET",6,0,"9%",1.9,116,419,60,115,5,59,19,36,0.274,0.333,0.406,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",18
15,"Hod Lisenbee","WSH",5,0,"8%",3.4,39,83,4,11,0,5,0,4,0.133,0.182,0.169,0.35,18,9,3.57,1.236,39,34,0,242,221,6,78,105,1927,"AL",11
15,"Bing Miller","SLB",5,0,"8%",2.5,143,492,83,160,5,75,8,30,0.325,0.375,0.449,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",14
17,"Alex Metzler","CHW",4,0,"6%",4.1,134,543,87,173,3,61,15,61,0.319,0.396,0.429,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",9
18,"Ira Flagstead","BOS",3,0,"5%",2.5,131,466,63,133,4,69,12,57,0.285,0.374,0.401,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",14
18,"Charlie Jamieson","CLE",3,0,"5%",2.2,127,489,73,151,0,36,7,64,0.309,0.394,0.38,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",17
18,"Wally Schang","SLB",3,0,"5%",2.3,97,264,40,84,5,42,3,41,0.318,0.414,0.447,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",16
18,"Fred Schulte","SLB",3,0,"5%",1,60,189,32,60,3,34,5,20,0.317,0.383,0.503,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",20
22,"Willis Hudlin","CLE",2,0,"3%",5.3,43,96,12,24,1,6,0,1,0.25,0.258,0.354,0.612,18,12,4.01,1.413,43,30,0,264.2,291,3,83,65,1927,"AL",6
22,"Bill Regan","BOS",2,0,"3%",0.4,129,468,43,128,2,66,10,26,0.274,0.315,0.408,0.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",23
22,"Jack Rothrock","BOS",2,0,"3%",-0.2,117,428,61,111,1,36,5,24,0.259,0.302,0.36,0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",24
25,"Slim Harriss","BOS",1,0,"2%",1.6,44,66,1,8,0,3,0,2,0.121,0.159,0.136,0.296,14,21,4.18,1.466,44,27,1,217.2,253,8,66,77,1927,"AL",19
25,"Phil Todt","BOS",1,0,"2%",-0.9,140,516,55,122,6,52,6,28,0.236,0.28,0.337,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"AL",26
